latitude,longitude,data_inserimento,bicycle_parking,capacity,covered,access,addr:city,addr:street,addr:housenumber,note,precisione,foto,path,url
44.501892,11.334452,2018-02-10T12:09:14.000+01:00,stands,12,no,yes,Bologna,,,,5.699999809,1518260946973-1528253985-12_9_11.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518260946973-1528253985-12_9_11.jpg
44.495742,11.337428,2018-02-10T12:10:03.000+01:00,bollard,32,no,yes,Bologna,Ugo Bassi,,,10.61900043,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.50399,11.343784,2018-02-10T12:09:26.000+01:00,wall_loops,58,no,yes,Bologna,,,,65,image-12_9_10.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-12_9_10.jpg
44.498708,11.327753,2018-02-10T12:10:47.000+01:00,wide_stands,7,no,private,Bologna,Via Monaldo Calari,,Non mappata su OSM,18.66600037,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.502313,11.33429,2018-02-10T12:11:12.000+01:00,stands,40,no,yes,Bologna,,,,5.300000191,1518261061438-1871536886-12_11_7.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518261061438-1871536886-12_11_7.jpg
44.497883,11.32787,2018-02-10T12:13:22.000+01:00,wide_stands,10,no,private,Bologna,Via Monaldo Calari,160,,18.53199959,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.502043,11.333892,2018-02-10T12:14:43.000+01:00,stands,8,no,yes,Bologna,Delle Lame,,,8,1518261236759727079737-12_14_12.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518261236759727079737-12_14_12.jpg
44.495657,11.337199,2018-02-10T12:12:28.000+01:00,wall_loops,14,no,yes,Bologna,Ugo Bassi,51,Tipo wall loop,10.61900043,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.488829,11.340202,2018-02-10T12:17:29.000+01:00,bollard,10,no,yes,Bologna,D'azzeglio,,,16.2329998,15182613340741978830149-12_15_42.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/15182613340741978830149-12_15_42.jpg
44.503257,11.34237,2018-02-10T12:18:31.000+01:00,wall_loops,6,no,yes,Bologna,Angolo via Gramsci e via Milazzo,160,8 su 8 ok,6,1518261492555-207882095-12_18_25.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518261492555-207882095-12_18_25.jpg
44.50177,11.334082,2018-02-10T12:18:52.000+01:00,rack,4,no,yes,Bologna,Delle lame,,,9.399999619,1518261518406-844897748-12_18_44.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518261518406-844897748-12_18_44.jpg
44.495431,11.329051,2018-02-10T12:20:32.000+01:00,wide_stands,10,no,yes,Bologna,Via del Pratello,1,,18.53800011,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.501285,11.333715,2018-02-10T12:20:35.000+01:00,stands,22,no,yes,Bologna,Cervellati,,,8.699999809,15182616090552032702852-12_20_27.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/15182616090552032702852-12_20_27.jpg
44.503119,11.341907,2018-02-10T12:21:28.000+01:00,wall_loops,30,no,yes,Bologna,,,Angolo con via Brugnoli,10,image-12_20_44.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-12_20_44.jpg
44.488732,11.339585,2018-02-10T12:22:22.000+01:00,bollard,12,no,yes,Bologna,Castelfidardo,11,13 su 14,6,15182615277711602277773-12_18_56.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/15182615277711602277773-12_18_56.jpg
44.487093,11.343335,2018-02-10T11:51:57.000+01:00,bollard,8,no,yes,Bologna,savenella,18,Incrocio boccadilupo,5,image-11_51_49.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-11_51_49.jpg
44.493885,11.338538,2018-02-10T12:21:59.000+01:00,bollard,6,no,yes,Bologna,Cesare Battisti,1,,6.06799984,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.500425,11.334183,2018-02-10T12:22:58.000+01:00,stands,8,no,yes,Bologna,Luigi Calori,,4 su 4 ok,6.099999905,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.498847,11.331423,2018-02-10T12:23:57.000+01:00,wall_loops,4,no,yes,Bologna,,1,8730,32,20180210_122329-12_23_53.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/20180210_122329-12_23_53.jpg
44.500213,11.333548,2018-02-10T12:24:00.000+01:00,wall_loops,8,no,yes,Bologna,Luigi Calori,,,6.599999905,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.488652,11.343202,2018-02-10T12:24:32.000+01:00,bollard,14,no,yes,Bologna,garibaldi angolo piazza tribunali,,,5,image-12_24_24.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-12_24_24.jpg
44.488681,11.33793,2018-02-10T12:25:21.000+01:00,bollard,8,no,yes,Bologna,Castelfidardo,,Wall loop,9,1518261896277586691183-12_25_14.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518261896277586691183-12_25_14.jpg
44.495474,11.32996,2018-02-10T12:25:46.000+01:00,wide_stands,10,no,yes,Bologna,Via del Pratello,1,6852,18.46299934,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.489002,11.34251,2018-02-10T12:27:35.000+01:00,bollard,4,no,yes,Bologna,mattuiani,,,5,image-12_27_28.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-12_27_28.jpg
44.494057,11.338897,2018-02-10T12:26:50.000+01:00,bollard,6,no,yes,Bologna,IV novembre,83,,12.13599968,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.500045,11.334658,2018-02-10T12:27:22.000+01:00,stands,6,no,yes,Bologna,Delle lame,59,Già su OSM ma con numero sbagliato,8.899999619,15182620230231546651712-12_27_15.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/15182620230231546651712-12_27_15.jpg
44.499366,11.335161,2018-02-10T12:30:30.000+01:00,stands,6,no,yes,Bologna,Delle Lame,,,18.51099968,1518262216232-1451392298-12_30_24.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518262216232-1451392298-12_30_24.jpg
44.502568,11.340695,2018-02-10T12:25:45.000+01:00,wall_loops,13,no,yes,Bologna,,,,10,image-12_25_40.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-12_25_40.jpg
44.493912,11.340918,2018-02-10T12:32:47.000+01:00,bollard,18,no,yes,Bologna,Piazza Galileo,54,,7.585000038,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.49553,11.33189,2018-02-10T12:33:25.000+01:00,wide_stands,8,no,yes,Bologna,Via del Pratello,,,15.01799965,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.498567,11.33577,2018-02-10T12:32:36.000+01:00,stands,10,no,yes,Bologna,,,Angolo con via san Lorenzo,5.099999905,1518262332149-360110716-12_32_30.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518262332149-360110716-12_32_30.jpg
44.502807,11.339333,2018-02-10T12:34:00.000+01:00,wall_loops,6,no,yes,Bologna,Via Cairoli,,,4,15182624215632097032540-12_33_53.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/15182624215632097032540-12_33_53.jpg
44.501007,11.333031,2018-02-10T12:34:54.000+01:00,wall_loops,6,no,yes,Bologna,,,,19.47800064,20180210_123352-12_34_49.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/20180210_123352-12_34_49.jpg
44.500425,11.332923,2018-02-10T12:37:41.000+01:00,wall_loops,8,no,yes,Bologna,,,,19.34499931,20180210_123655-12_37_37.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/20180210_123655-12_37_37.jpg
44.495553,11.332585,2018-02-10T12:37:43.000+01:00,wide_stands,10,no,yes,Bologna,Via del Pratello,,Non presente,19.60899925,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.493242,11.340686,2018-02-10T12:37:51.000+01:00,bollard,20,no,yes,Bologna,Piazza Galileo,,,4.551000118,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.497895,11.33622,2018-02-10T12:38:27.000+01:00,stands,4,no,yes,Bologna,Delle Lame,,,9.199999809,1518262690355-593711536-12_38_21.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518262690355-593711536-12_38_21.jpg
44.495602,11.333591,2018-02-10T12:40:37.000+01:00,wide_stands,6,no,yes,Bologna,Via del Pratello,,,19.32099915,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.493006,11.340686,2018-02-10T12:40:21.000+01:00,bollard,10,no,yes,Bologna,Piazza Galileo,25,6853,6.06799984,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.495561,11.333726,2018-02-10T12:42:08.000+01:00,wide_stands,26,no,yes,Bologna,Via del Pratello,,,15.59899998,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.502037,11.33957,2018-02-10T12:38:43.000+01:00,wall_loops,26,no,yes,Bologna,,4,,50,image-12_38_38.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-12_38_38.jpg
44.495118,11.334688,2018-02-10T12:45:33.000+01:00,wide_stands,4,no,yes,Bologna,Piazza San Francesco,,,18.54899979,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.502438,11.339901,2018-02-10T12:31:40.000+01:00,wall_loops,18,no,yes,Bologna,,,,10,image-12_30_59.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-12_30_59.jpg
44.501927,11.337432,2018-02-10T12:45:52.000+01:00,wall_loops,14,no,yes,Bologna,,,Alcuni anelli sono rotti 5601,10,image-12_45_35.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-12_45_35.jpg
44.493773,11.341265,2018-02-10T12:46:23.000+01:00,bollard,46,no,yes,Bologna,,4,,4.551000118,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.494951,11.334682,2018-02-10T12:48:27.000+01:00,wide_stands,16,no,yes,Bologna,Piazza San Francesco,,,19.69199944,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.500544,11.334291,2018-02-10T12:41:49.000+01:00,wall_loops,8,no,yes,Bologna,,,7 su 8 ok,18.83399963,20180210_124111-12_41_45.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/20180210_124111-12_41_45.jpg
44.49374,11.341692,2018-02-10T12:50:13.000+01:00,bollard,32,no,yes,Bologna,IV Novembre,2,12 su 12 ok,16.68700027,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.494948,11.334712,2018-02-10T12:50:21.000+01:00,wide_stands,4,no,yes,Bologna,Via de Marchi,,,16.40399933,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.495548,11.342109,2018-02-10T12:57:23.000+01:00,bollard,18,no,yes,Bologna,Montegrappa,24,,15.17000008,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.496719,11.334328,2018-02-10T12:57:15.000+01:00,wide_stands,10,no,yes,Bologna,Via San Felice,67,,18.06999969,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.497384,11.332455,2018-02-10T13:00:38.000+01:00,wide_stands,10,no,yes,Bologna,Via san felice,1,,19.06399918,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.492688,11.340548,2018-02-10T13:00:36.000+01:00,bollard,8,no,yes,Bologna,val d’aposa,12,,5,image-13_0_28.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-13_0_28.jpg
44.491534,11.340074,2018-02-10T12:57:36.000+01:00,bollard,12,no,yes,Bologna,valdaposa,1,,5,image-12_57_31.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/image-12_57_31.jpg
44.492691,11.34046,2018-02-10T13:01:28.000+01:00,bollard,4,no,yes,Bologna,Valdaposa,,,18.86300087,1518264013620730813381-13_0_20.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518264013620730813381-13_0_20.jpg
44.498059,11.331218,2018-02-10T13:05:10.000+01:00,wide_stands,10,no,yes,Bologna,Via riva di reno,13,Angolo con via ferrarese,16.5340004,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.49636,11.338184,2018-02-10T13:06:55.000+01:00,wall_loops,9,no,yes,Bologna,Belvedere,,Stazione Borgo Panigale,4.551000118,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.498478,11.332225,2018-02-10T13:08:00.000+01:00,wide_stands,6,no,yes,Bologna,Riva di reno,,test,19.48200035,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.497173,11.341697,2018-02-10T13:36:43.000+01:00,stands,8,no,yes,Bologna,,,,5.800000191,1518266189969-2124520316-13_36_38.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518266189969-2124520316-13_36_38.jpg
44.501017,11.343377,2018-02-10T13:43:34.000+01:00,stands,10,no,yes,Bologna,,56,,4.599999905,1518266600548-1244206655-13_43_26.jpg,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/1518266600548-1244206655-13_43_26.jpg
44.494904,11.330902,2018-02-10T14:36:22.000+01:00,wide_stands,14,no,yes,Bologna,Via Pietralata,,,19.11400032,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.509941,11.347381,2018-02-11T19:51:31.000+01:00,bollard,6,no,yes,Bologna,Algardi,,,9.102000237,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/
44.515178,11.284507,2018-02-13T17:38:42.000+01:00,bollard,35,yes,yes,Bologna,,,,7.585000038,,https://ondata.github.io/rastrellierebologna/img/,https://ondata.github.io/rastrellierebologna/img/